类型,谱例编号,图片路径,章节,分组,小节,图注
谱例,12.1,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1125471666_figure_largeshow.jpg,第十二章 调式,12-1 中古调式(上),12-1 中古调式(上),
谱例,12.45,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1125577663_figure_largeshow.jpg,第十二章 调式,12-5 民族调式的和弦,12-5 民族调式的和弦,
谱例,12.47,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1126888149_figure_largeshow.jpg,第十二章 调式,12-5 民族调式的和弦,12-5 民族调式的和弦,
谱例,12.50,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1126888287_figure_largeshow.jpg,第十二章 调式,12-5 民族调式的和弦,12-5 民族调式的和弦,
谱例,12.56,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1126888469_figure_largeshow.jpg,第十二章 调式,12-5 民族调式的和弦,12-5 民族调式的和弦,
谱例,12.46,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1127252184_figure_largeshow.jpg,第十二章 调式,12-5 民族调式的和弦,12-5 民族调式的和弦,
谱例,12.64,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1127252236_figure_largeshow.jpg,第十二章 调式,12-5 民族调式的和弦,12-5 民族调式的和弦,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1127252351_figure_largeshow.jpg,第十二章 调式,12-5 民族调式的和弦,12-5 民族调式的和弦,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1127309117_figure_largeshow.jpg,第十一章 转调,11-7 等音转调(下),11-7 等音转调(下),图11.71 通过增三和弦的等音转调
谱例,11.57,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1127309225_figure_largeshow.jpg,第十一章 转调,11-7 等音转调(下),11-7 等音转调(下),
谱例,12.53,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1127362889_figure_largeshow.jpg,第十二章 调式,12-5 民族调式的和弦,12-5 民族调式的和弦,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1127362938_figure_largeshow.jpg,第十二章 调式,12-5 民族调式的和弦,12-5 民族调式的和弦,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1127363277_figure_largeshow.jpg,第十二章 调式,12-5 民族调式的和弦,12-5 民族调式的和弦,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1127802341_figure_largeshow.jpg,第十一章 转调,11-10 调性布局(下),11-10 调性布局(下),图11.89 调关系的功能性与色彩性总结
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1127802595_figure_largeshow.jpg,第十二章 调式,12-5 民族调式的和弦,12-5 民族调式的和弦,
谱例,12.65,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1127802698_figure_largeshow.jpg,第十二章 调式,12-5 民族调式的和弦,12-5 民族调式的和弦,
谱例,12.67,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1127804832_figure_largeshow.jpg,第十二章 调式,12-5 民族调式的和弦,12-5 民族调式的和弦,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1127808013_figure_largeshow.jpg,第十二章 调式,12-5 民族调式的和弦,12-5 民族调式的和弦,图12.36 五正音之间的音程表
谱例,12.60,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1127808557_figure_largeshow.jpg,第十二章 调式,12-5 民族调式的和弦,12-5 民族调式的和弦,
谱例,12.69,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1127809132_figure_largeshow.jpg,第十二章 调式,12-5 民族调式的和弦,12-5 民族调式的和弦,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1128123109_figure_largeshow.jpg,第十二章 调式,12-5 民族调式的和弦,12-5 民族调式的和弦,
谱例,12.70,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1128123239_figure_largeshow.jpg,第十二章 调式,12-5 民族调式的和弦,12-5 民族调式的和弦,
谱例,12.66,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1128127400_figure_largeshow.jpg,第十二章 调式,12-5 民族调式的和弦,12-5 民族调式的和弦,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1129293903_figure_largeshow.jpg,第十二章 调式,12-6 民族调性体系,12-6 民族调性体系,图12.38 现代观点下的旋宫
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1130512877_figure_largeshow.jpg,第十一章 转调,11-7 等音转调(下),11-7 等音转调(下),
谱例,11.44,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1130515714_figure_largeshow.jpg,第十一章 转调,11-6 等音转调(上),11-6 等音转调(上),
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1130820515_figure_largeshow.jpg,第十二章 调式,12-6 民族调性体系,12-6 民族调性体系,图12.37 旋宫图
谱例,12.49,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1131847862_figure_largeshow.jpg,第十二章 调式,12-5 民族调式的和弦,12-5 民族调式的和弦,
谱例,12.15,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1132725181_figure_largeshow.jpg,第十二章 调式,12-2 中古调式(下）,12-2 中古调式(下）,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1133105849_figure_largeshow.jpg,第十二章 调式,12-2 中古调式(下）,12-2 中古调式(下）,图12.15 中古调式的五度圈
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1133402531_figure_largeshow.jpg,第十二章 调式,12-6 民族调性体系,12-6 民族调性体系,图12.48 从正调弦式出发的琴五调
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1133402933_figure_largeshow.jpg,第十二章 调式,12-6 民族调性体系,12-6 民族调性体系,图12.49 琴五调的音高关系
谱例,12.75,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1133576210_figure_largeshow.jpg,第十二章 调式,12-6 民族调性体系,12-6 民族调性体系,
谱例,12.76,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1133656436_figure_largeshow.jpg,第十二章 调式,12-6 民族调性体系,12-6 民族调性体系,
谱例,11.9,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1133843345_figure_largeshow.jpg,第十一章 转调,11-3 加速转调,11-3 加速转调,
谱例,12.71,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1133843400_figure_largeshow.jpg,第十二章 调式,12-6 民族调性体系,12-6 民族调性体系,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1133851765_figure_largeshow.jpg,第十二章 调式,12-6 民族调性体系,12-6 民族调性体系,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1133852642_figure_largeshow.jpg,第十二章 调式,12-6 民族调性体系,12-6 民族调性体系,图12.39 中古调式与民族调式的五度圈
谱例,12.72,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1134427852_figure_largeshow.jpg,第十二章 调式,12-6 民族调性体系,12-6 民族调性体系,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1134427982_figure_largeshow.jpg,第十二章 调式,12-6 民族调性体系,12-6 民族调性体系,图12.41 《天马来》旋律的统计
谱例,11.76,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1137664248_figure_largeshow.jpg,第十一章 转调,11-10 调性布局(下),11-10 调性布局(下),
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1137664325_figure_largeshow.jpg,第十一章 转调,11-10 调性布局(下),11-10 调性布局(下),
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1137664431_figure_largeshow.jpg,第十一章 转调,11-10 调性布局(下),11-10 调性布局(下),
谱例,12.73,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1140264777_figure_largeshow.jpg,第十二章 调式,12-6 民族调性体系,12-6 民族调性体系,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1140558042_figure_largeshow.jpg,第十二章 调式,12-6 民族调性体系,12-6 民族调性体系,图12.42 G苦音徵调的↑4与↓7
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1140690627_figure_largeshow.jpg,第十二章 调式,12-6 民族调性体系,12-6 民族调性体系,图12.40 C宫系统的正音与偏音
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1141427717_figure_largeshow.jpg,第十二章 调式,12-6 民族调性体系,12-6 民族调性体系,图12.46 C宫系统出发的旋宫转调
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1141427809_figure_largeshow.jpg,第十二章 调式,12-6 民族调性体系,12-6 民族调性体系,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1141553605_figure_largeshow.jpg,第十二章 调式,12-6 民族调性体系,12-6 民族调性体系,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1143096886_figure_largeshow.jpg,第十二章 调式,12-6 民族调性体系,12-6 民族调性体系,图12.47 《菩萨蛮》的五度圈及网格图
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1143245681_figure_largeshow.jpg,第十二章 调式,12-6 民族调性体系,12-6 民族调性体系,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1143554256_figure_largeshow.jpg,第十二章 调式,12-6 民族调性体系,12-6 民族调性体系,图12.43 屈调、扬调与单借
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1143554314_figure_largeshow.jpg,第十二章 调式,12-6 民族调性体系,12-6 民族调性体系,图12.44 双借
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1143554402_figure_largeshow.jpg,第十二章 调式,12-6 民族调性体系,12-6 民族调性体系,图12.45 三借
谱例,12.84,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1143554594_figure_largeshow.jpg,第十二章 调式,12-7 日本音阶,12-7 日本音阶,
谱例,12.83,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1143554611_figure_largeshow.jpg,第十二章 调式,12-7 日本音阶,12-7 日本音阶,
谱例,12.77,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1143555103_figure_largeshow.jpg,第十二章 调式,12-6 民族调性体系,12-6 民族调性体系,
谱例,12.79,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1143555344_figure_largeshow.jpg,第十二章 调式,12-6 民族调性体系,12-6 民族调性体系,
谱例,12.80,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1143559070_figure_largeshow.jpg,第十二章 调式,12-6 民族调性体系,12-6 民族调性体系,
谱例,12.85,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1143581854_figure_largeshow.jpg,第十二章 调式,12-7 日本音阶,12-7 日本音阶,
谱例,12.89,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1143583245_figure_largeshow.jpg,第十二章 调式,12-7 日本音阶,12-7 日本音阶,
谱例,12.82,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1144978306_figure_largeshow.jpg,第十二章 调式,12-7 日本音阶,12-7 日本音阶,
谱例,12.87,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1144978672_figure_largeshow.jpg,第十二章 调式,12-7 日本音阶,12-7 日本音阶,
谱例,12.90,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1144998546_figure_largeshow.jpg,第十二章 调式,12-7 日本音阶,12-7 日本音阶,
谱例,12.74,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1145468434_figure_largeshow.jpg,第十二章 调式,12-6 民族调性体系,12-6 民族调性体系,
谱例,12.92,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1145550882_figure_largeshow.jpg,第十二章 调式,12-7 日本音阶,12-7 日本音阶,
谱例,12.93,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1145551010_figure_largeshow.jpg,第十二章 调式,12-7 日本音阶,12-7 日本音阶,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1145551759_figure_largeshow.jpg,第十一章 转调,11-8 其他转调法,11-8 其他转调法,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1146553764_figure_largeshow.jpg,第十二章 调式,12-8 自然音阶与调性,12-8 自然音阶与调性,图12.57 自然音阶衍生的七声与五声调式总结
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1146579812_figure_largeshow.jpg,第十二章 调式,12-8 自然音阶与调性,12-8 自然音阶与调性,图12.68 纯四度与增四度四音列的种类
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1147175413_figure_largeshow.jpg,第十二章 调式,12-8 自然音阶与调性,12-8 自然音阶与调性,图12.64 调性的各种形式
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1147748007_figure_largeshow.jpg,第十二章 调式,12-8 自然音阶与调性,12-8 自然音阶与调性,图12.65 自然音阶在音高星座图(上)与五度圈(下)中的模式
谱例,12.88,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1148577308_figure_largeshow.jpg,第十二章 调式,12-7 日本音阶,12-7 日本音阶,
谱例,12.97,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1148577695_figure_largeshow.jpg,第十二章 调式,12-8 自然音阶与调性,12-8 自然音阶与调性,
谱例,12.95,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1148578439_figure_largeshow.jpg,第十二章 调式,12-8 自然音阶与调性,12-8 自然音阶与调性,
谱例,12.98,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1148940740_figure_largeshow.jpg,第十二章 调式,12-8 自然音阶与调性,12-8 自然音阶与调性,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1148940959_figure_largeshow.jpg,第十二章 调式,12-8 自然音阶与调性,12-8 自然音阶与调性,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1148941052_figure_largeshow.jpg,第十二章 调式,12-8 自然音阶与调性,12-8 自然音阶与调性,
谱例,12.94,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1148941102_figure_largeshow.jpg,第十二章 调式,12-7 日本音阶,12-7 日本音阶,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1148941318_figure_largeshow.jpg,第十三章 现代和声,13-1 音集理论基础,13-1 音集理论基础,图13.1 音高集合的整数音名
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1148941418_figure_largeshow.jpg,第十三章 现代和声,13-1 音集理论基础,13-1 音集理论基础,图13.2 整数音名的音程计算
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1148955901_figure_largeshow.jpg,第十三章 现代和声,13-1 音集理论基础,13-1 音集理论基础,图13.9 C宫五声音阶与C自然大调的方阵
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1148956376_figure_largeshow.jpg,第十三章 现代和声,13-1 音集理论基础,13-1 音集理论基础,图13.7 G和弦的音程方阵
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1148956794_figure_largeshow.jpg,第十三章 现代和声,13-1 音集理论基础,13-1 音集理论基础,图13.10 B°7的音程方阵
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1148957129_figure_largeshow.jpg,第十三章 现代和声,13-1 音集理论基础,13-1 音集理论基础,图13.3 音程级
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1148957398_figure_largeshow.jpg,第十三章 现代和声,13-1 音集理论基础,13-1 音集理论基础,图13.18 G与Dm的音程向量计算
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1148960202_figure_largeshow.jpg,第十三章 现代和声,13-1 音集理论基础,13-1 音集理论基础,图13.11 C和弦的T1操作
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1148963795_figure_largeshow.jpg,第十三章 现代和声,13-1 音集理论基础,13-1 音集理论基础,图13.14 C和弦的平移与倒影
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1148963824_figure_largeshow.jpg,第十三章 现代和声,13-1 音集理论基础,13-1 音集理论基础,图13.16 C°和弦的平移与倒影
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1148963903_figure_largeshow.jpg,第十三章 现代和声,13-1 音集理论基础,13-1 音集理论基础,图13.17 C°7和弦的平移与倒影
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1148964184_figure_largeshow.jpg,第十三章 现代和声,13-1 音集理论基础,13-1 音集理论基础,图13.4 五度圈(左)与网格图(右)的整数表示
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1148964242_figure_largeshow.jpg,第十三章 现代和声,13-1 音集理论基础,13-1 音集理论基础,图13.8 CΔ和弦的音程方阵
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1149782645_figure_largeshow.jpg,第十三章 现代和声,13-1 音集理论基础,13-1 音集理论基础,图13.12 C和弦的I操作
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1149782895_figure_largeshow.jpg,第十三章 现代和声,13-1 音集理论基础,13-1 音集理论基础,图13.13 C和弦的I2操作
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1149877270_figure_largeshow.jpg,第十三章 现代和声,13-1 音集理论基础,13-1 音集理论基础,图13.5 G和弦、C大调的星座图与珠链图
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1150071788_figure_largeshow.jpg,第十三章 现代和声,13-2 音集分类表,13-2 音集分类表,图13.22 C自然音阶及其补集
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1150648343_figure_largeshow.jpg,第十三章 现代和声,13-2 音集分类表,13-2 音集分类表,图13.33 五/七音集的对称性
谱例,12.18,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1151477159_figure_largeshow.jpg,第十二章 调式,12-4 中国风格的旋律,12-4 中国风格的旋律,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1153000209_figure_largeshow.jpg,第十二章 调式,12-8 自然音阶与调性,12-8 自然音阶与调性,图12.58 五度圈上的极点音与转调
谱例,11.40,E:\Documents\DeepSeeK\harmony-trainer\images\adv\1153300301_figure_largeshow.jpg,第十一章 转调,11-6 等音转调(上),11-6 等音转调(上),
